particle_id,launch_coordinate_sigma,effective_amplitude_sigma,tune_fractional,tune_absolute
1,0.04,0.065076892778,0.2373046875,4.2373046875
2,0.08,0.130153785556,0.2373046875,4.2373046875
3,0.12,0.195230678334,0.2373046875,4.2373046875
4,0.16,0.260307571112,0.23828125,4.23828125
5,0.2,0.32538446389,0.2392578125,4.2392578125
6,0.24,0.390461356668,0.240234375,4.240234375
7,0.28,0.455538249446,0.2412109375,4.2412109375
8,0.32,0.520615142224,0.2421875,4.2421875
9,0.36,0.585692035002,0.2431640625,4.2431640625
10,0.4,0.65076892778,0.2451171875,4.2451171875
11,0.44,0.715845820558,0.24609375,4.24609375
12,0.48,0.780922713336,0.248046875,4.248046875
13,0.52,0.845999606114,0.2490234375,4.2490234375
14,0.56,0.911076498892,0.2509765625,4.2509765625
15,0.6,0.97615339167,0.2529296875,4.2529296875
16,0.64,1.04123028445,0.2548828125,4.2548828125
17,0.68,1.10630717723,0.2568359375,4.2568359375
18,0.72,1.17138407,0.2587890625,4.2587890625
19,0.76,1.23646096278,0.2607421875,4.2607421875
20,0.8,1.30153785556,0.2626953125,4.2626953125
21,0.84,1.36661474834,0.2646484375,4.2646484375
22,0.88,1.43169164112,0.267578125,4.267578125
23,0.92,1.49676853389,0.26953125,4.26953125
24,0.96,1.56184542667,0.271484375,4.271484375
25,1,1.62692231945,0.2734375,4.2734375
26,1.04,1.69199921223,0.275390625,4.275390625
27,1.08,1.75707610501,0.27734375,4.27734375
28,1.12,1.82215299778,0.279296875,4.279296875
29,1.16,1.88722989056,0.28125,4.28125
30,1.2,1.95230678334,0.283203125,4.283203125
31,1.24,2.01738367612,0.28515625,4.28515625
32,1.28,2.0824605689,0.287109375,4.287109375
33,1.32,2.14753746167,0.2880859375,4.2880859375
34,1.36,2.21261435445,0.2900390625,4.2900390625
35,1.4,2.27769124723,0.2919921875,4.2919921875
36,1.44,2.34276814001,0.29296875,4.29296875
37,1.48,2.40784503279,0.294921875,4.294921875
38,1.52,2.47292192556,0.2958984375,4.2958984375
39,1.56,2.53799881834,0.2978515625,4.2978515625
40,1.6,2.60307571112,0.298828125,4.298828125
41,1.64,2.6681526039,0.30078125,4.30078125
42,1.68,2.73322949667,0.3017578125,4.3017578125
43,1.72,2.79830638945,0.302734375,4.302734375
44,1.76,2.86338328223,0.3037109375,4.3037109375
45,1.8,2.92846017501,0.3046875,4.3046875
46,1.84,2.99353706779,0.306640625,4.306640625
47,1.88,3.05861396056,0.3076171875,4.3076171875
48,1.92,3.12369085334,0.30859375,4.30859375
49,1.96,3.18876774612,0.3095703125,4.3095703125
50,2,3.2538446389,0.3095703125,4.3095703125
51,2.04,3.31892153168,0.310546875,4.310546875
52,2.08,3.38399842445,0.3115234375,4.3115234375
53,2.12,3.44907531723,0.3125,4.3125
54,2.16,3.51415221001,0.3134765625,4.3134765625
55,2.2,3.57922910279,0.314453125,4.314453125
56,2.24,3.64430599557,0.314453125,4.314453125
57,2.28,3.70938288834,0.3154296875,4.3154296875
58,2.32,3.77445978112,0.31640625,4.31640625
59,2.36,3.8395366739,0.31640625,4.31640625
60,2.4,3.90461356668,0.3173828125,4.3173828125
61,2.44,3.96969045946,0.318359375,4.318359375
62,2.48,4.03476735223,0.318359375,4.318359375
63,2.52,4.09984424501,0.3193359375,4.3193359375
64,2.56,4.16492113779,0.3193359375,4.3193359375
65,2.6,4.22999803057,0.3203125,4.3203125
66,2.64,4.29507492335,0.3203125,4.3203125
67,2.68,4.36015181612,0.3212890625,4.3212890625
68,2.72,4.4252287089,0.3212890625,4.3212890625
69,2.76,4.49030560168,0.322265625,4.322265625
70,2.8,4.55538249446,0.322265625,4.322265625
71,2.84,4.62045938724,0.322265625,4.322265625
72,2.88,4.68553628001,0.3232421875,4.3232421875
73,2.92,4.75061317279,0.3232421875,4.3232421875
74,2.96,4.81569006557,0.3232421875,4.3232421875
75,3,4.88076695835,0.32421875,4.32421875
76,3.04,4.94584385113,0.32421875,4.32421875
77,3.08,5.0109207439,0.32421875,4.32421875
78,3.12,5.07599763668,0.3251953125,4.3251953125
79,3.16,5.14107452946,0.3251953125,4.3251953125
80,3.2,5.20615142224,0.3251953125,4.3251953125
81,3.24,5.27122831502,0.326171875,4.326171875
82,3.28,5.33630520779,0.326171875,4.326171875
83,3.32,5.40138210057,0.326171875,4.326171875
84,3.36,5.46645899335,0.326171875,4.326171875
85,3.4,5.53153588613,0.3271484375,4.3271484375
86,3.44,5.59661277891,0.3271484375,4.3271484375
87,3.48,5.66168967168,0.3271484375,4.3271484375
88,3.52,5.72676656446,0.3271484375,4.3271484375
89,3.56,5.79184345724,0.328125,4.328125
90,3.6,5.85692035002,0.328125,4.328125
91,3.64,5.9219972428,0.328125,4.328125
92,3.68,5.98707413557,0.328125,4.328125
93,3.72,6.05215102835,0.328125,4.328125
94,3.76,6.11722792113,0.3291015625,4.3291015625
95,3.8,6.18230481391,0.3291015625,4.3291015625
96,3.84,6.24738170669,0.3291015625,4.3291015625
97,3.88,6.31245859946,0.3291015625,4.3291015625
98,3.92,6.37753549224,0.3291015625,4.3291015625
99,3.96,6.44261238502,0.330078125,4.330078125
