particle_id,launch_coordinate_sigma,effective_amplitude_sigma,tune_fractional,tune_absolute
1,0.04,0.0434853520298,0.0634765625,3.0634765625
2,0.08,0.0869707040596,0.0634765625,3.0634765625
3,0.12,0.130456056089,0.0634765625,3.0634765625
4,0.16,0.173941408119,0.0634765625,3.0634765625
5,0.2,0.217426760149,0.064453125,3.064453125
6,0.24,0.260912112179,0.0654296875,3.0654296875
7,0.28,0.304397464209,0.0654296875,3.0654296875
8,0.32,0.347882816239,0.06640625,3.06640625
9,0.36,0.391368168268,0.0673828125,3.0673828125
10,0.4,0.434853520298,0.068359375,3.068359375
11,0.44,0.478338872328,0.0693359375,3.0693359375
12,0.48,0.521824224358,0.0703125,3.0703125
13,0.52,0.565309576388,0.0712890625,3.0712890625
14,0.56,0.608794928418,0.072265625,3.072265625
15,0.6,0.652280280447,0.07421875,3.07421875
16,0.64,0.695765632477,0.0751953125,3.0751953125
17,0.68,0.739250984507,0.076171875,3.076171875
18,0.72,0.782736336537,0.078125,3.078125
19,0.76,0.826221688567,0.080078125,3.080078125
20,0.8,0.869707040596,0.0810546875,3.0810546875
21,0.84,0.913192392626,0.0830078125,3.0830078125
22,0.88,0.956677744656,0.0849609375,3.0849609375
23,0.92,1.00016309669,0.0859375,3.0859375
24,0.96,1.04364844872,0.087890625,3.087890625
25,1,1.08713380075,0.08984375,3.08984375
26,1.04,1.13061915278,0.091796875,3.091796875
27,1.08,1.17410450481,0.09375,3.09375
28,1.12,1.21758985684,0.095703125,3.095703125
29,1.16,1.26107520886,0.09765625,3.09765625
30,1.2,1.30456056089,0.0986328125,3.0986328125
31,1.24,1.34804591292,0.1005859375,3.1005859375
32,1.28,1.39153126495,0.1025390625,3.1025390625
33,1.32,1.43501661698,0.1044921875,3.1044921875
34,1.36,1.47850196901,0.1064453125,3.1064453125
35,1.4,1.52198732104,0.1083984375,3.1083984375
36,1.44,1.56547267307,0.1103515625,3.1103515625
37,1.48,1.6089580251,0.1123046875,3.1123046875
38,1.52,1.65244337713,0.1142578125,3.1142578125
39,1.56,1.69592872916,0.1162109375,3.1162109375
40,1.6,1.73941408119,0.1171875,3.1171875
41,1.64,1.78289943322,0.119140625,3.119140625
42,1.68,1.82638478525,0.12109375,3.12109375
43,1.72,1.86987013728,0.123046875,3.123046875
44,1.76,1.91335548931,0.125,3.125
45,1.8,1.95684084134,0.1259765625,3.1259765625
46,1.84,2.00032619337,0.1279296875,3.1279296875
47,1.88,2.0438115454,0.1298828125,3.1298828125
48,1.92,2.08729689743,0.130859375,3.130859375
49,1.96,2.13078224946,0.1328125,3.1328125
50,2,2.17426760149,0.1337890625,3.1337890625
51,2.04,2.21775295352,0.1357421875,3.1357421875
52,2.08,2.26123830555,0.1376953125,3.1376953125
53,2.12,2.30472365758,0.138671875,3.138671875
54,2.16,2.34820900961,0.1396484375,3.1396484375
55,2.2,2.39169436164,0.1416015625,3.1416015625
56,2.24,2.43517971367,0.142578125,3.142578125
57,2.28,2.4786650657,0.14453125,3.14453125
58,2.32,2.52215041773,0.1455078125,3.1455078125
59,2.36,2.56563576976,0.146484375,3.146484375
60,2.4,2.60912112179,0.1474609375,3.1474609375
61,2.44,2.65260647382,0.1494140625,3.1494140625
62,2.48,2.69609182585,0.150390625,3.150390625
63,2.52,2.73957717788,0.1513671875,3.1513671875
64,2.56,2.78306252991,0.15234375,3.15234375
65,2.6,2.82654788194,0.1533203125,3.1533203125
66,2.64,2.87003323397,0.154296875,3.154296875
67,2.68,2.913518586,0.1552734375,3.1552734375
68,2.72,2.95700393803,0.15625,3.15625
69,2.76,3.00048929006,0.1572265625,3.1572265625
70,2.8,3.04397464209,0.158203125,3.158203125
71,2.84,3.08745999412,0.1591796875,3.1591796875
72,2.88,3.13094534615,0.16015625,3.16015625
73,2.92,3.17443069818,0.1611328125,3.1611328125
74,2.96,3.21791605021,0.162109375,3.162109375
75,3,3.26140140224,0.1630859375,3.1630859375
76,3.04,3.30488675427,0.1630859375,3.1630859375
77,3.08,3.3483721063,0.1640625,3.1640625
78,3.12,3.39185745833,0.1650390625,3.1650390625
79,3.16,3.43534281036,0.166015625,3.166015625
80,3.2,3.47882816239,0.166015625,3.166015625
81,3.24,3.52231351442,0.1669921875,3.1669921875
82,3.28,3.56579886645,0.16796875,3.16796875
83,3.32,3.60928421848,0.16796875,3.16796875
84,3.36,3.65276957051,0.1689453125,3.1689453125
85,3.4,3.69625492253,0.169921875,3.169921875
86,3.44,3.73974027456,0.169921875,3.169921875
87,3.48,3.78322562659,0.1708984375,3.1708984375
88,3.52,3.82671097862,0.1708984375,3.1708984375
89,3.56,3.87019633065,0.171875,3.171875
90,3.6,3.91368168268,0.1728515625,3.1728515625
91,3.64,3.95716703471,0.1728515625,3.1728515625
92,3.68,4.00065238674,0.173828125,3.173828125
93,3.72,4.04413773877,0.173828125,3.173828125
94,3.76,4.0876230908,0.1748046875,3.1748046875
95,3.8,4.13110844283,0.1748046875,3.1748046875
96,3.84,4.17459379486,0.17578125,3.17578125
97,3.88,4.21807914689,0.17578125,3.17578125
98,3.92,4.26156449892,0.17578125,3.17578125
99,3.96,4.30504985095,0.1767578125,3.1767578125
