particle_id,launch_coordinate_sigma,effective_amplitude_sigma,tune_fractional,tune_absolute
1,0.033,0.0536884365418,0.2373046875,4.2373046875
2,0.066,0.107376873084,0.2373046875,4.2373046875
3,0.099,0.161065309625,0.2373046875,4.2373046875
4,0.132,0.214753746167,0.2373046875,4.2373046875
5,0.165,0.268442182709,0.23828125,4.23828125
6,0.198,0.322130619251,0.2392578125,4.2392578125
7,0.231,0.375819055793,0.2392578125,4.2392578125
8,0.264,0.429507492335,0.240234375,4.240234375
9,0.297,0.483195928876,0.2412109375,4.2412109375
10,0.33,0.536884365418,0.2421875,4.2421875
11,0.363,0.59057280196,0.2431640625,4.2431640625
12,0.396,0.644261238502,0.244140625,4.244140625
13,0.429,0.697949675044,0.24609375,4.24609375
14,0.462,0.751638111586,0.2470703125,4.2470703125
15,0.495,0.805326548127,0.248046875,4.248046875
16,0.528,0.859014984669,0.25,4.25
17,0.561,0.912703421211,0.2509765625,4.2509765625
18,0.594,0.966391857753,0.2529296875,4.2529296875
19,0.627,1.02008029429,0.2548828125,4.2548828125
20,0.66,1.07376873084,0.255859375,4.255859375
21,0.693,1.12745716738,0.2578125,4.2578125
22,0.726,1.18114560392,0.259765625,4.259765625
23,0.759,1.23483404046,0.2607421875,4.2607421875
24,0.792,1.288522477,0.2626953125,4.2626953125
25,0.825,1.34221091355,0.2646484375,4.2646484375
26,0.858,1.39589935009,0.2666015625,4.2666015625
27,0.891,1.44958778663,0.267578125,4.267578125
28,0.924,1.50327622317,0.26953125,4.26953125
29,0.957,1.55696465971,0.271484375,4.271484375
30,0.99,1.61065309625,0.2734375,4.2734375
31,1.023,1.6643415328,0.2744140625,4.2744140625
32,1.056,1.71802996934,0.2763671875,4.2763671875
33,1.089,1.77171840588,0.2783203125,4.2783203125
34,1.122,1.82540684242,0.279296875,4.279296875
35,1.155,1.87909527896,0.28125,4.28125
36,1.188,1.93278371551,0.2822265625,4.2822265625
37,1.221,1.98647215205,0.2841796875,4.2841796875
38,1.254,2.04016058859,0.2861328125,4.2861328125
39,1.287,2.09384902513,0.287109375,4.287109375
40,1.32,2.14753746167,0.2890625,4.2890625
41,1.353,2.20122589821,0.2900390625,4.2900390625
42,1.386,2.25491433476,0.291015625,4.291015625
43,1.419,2.3086027713,0.29296875,4.29296875
44,1.452,2.36229120784,0.2939453125,4.2939453125
45,1.485,2.41597964438,0.294921875,4.294921875
46,1.518,2.46966808092,0.296875,4.296875
47,1.551,2.52335651747,0.2978515625,4.2978515625
48,1.584,2.57704495401,0.298828125,4.298828125
49,1.617,2.63073339055,0.2998046875,4.2998046875
50,1.65,2.68442182709,0.30078125,4.30078125
51,1.683,2.73811026363,0.3017578125,4.3017578125
52,1.716,2.79179870018,0.302734375,4.302734375
53,1.749,2.84548713672,0.3037109375,4.3037109375
54,1.782,2.89917557326,0.3046875,4.3046875
55,1.815,2.9528640098,0.3056640625,4.3056640625
56,1.848,3.00655244634,0.306640625,4.306640625
57,1.881,3.06024088288,0.3076171875,4.3076171875
58,1.914,3.11392931943,0.30859375,4.30859375
59,1.947,3.16761775597,0.3095703125,4.3095703125
60,1.98,3.22130619251,0.310546875,4.310546875
61,2.013,3.27499462905,0.310546875,4.310546875
62,2.046,3.32868306559,0.3115234375,4.3115234375
63,2.079,3.38237150214,0.3125,4.3125
64,2.112,3.43605993868,0.3125,4.3125
65,2.145,3.48974837522,0.3134765625,4.3134765625
66,2.178,3.54343681176,0.314453125,4.314453125
67,2.211,3.5971252483,0.314453125,4.314453125
68,2.244,3.65081368484,0.3154296875,4.3154296875
69,2.277,3.70450212139,0.31640625,4.31640625
70,2.31,3.75819055793,0.31640625,4.31640625
71,2.343,3.81187899447,0.3173828125,4.3173828125
72,2.376,3.86556743101,0.3173828125,4.3173828125
73,2.409,3.91925586755,0.318359375,4.318359375
74,2.442,3.9729443041,0.318359375,4.318359375
75,2.475,4.02663274064,0.3193359375,4.3193359375
76,2.508,4.08032117718,0.3193359375,4.3193359375
77,2.541,4.13400961372,0.3203125,4.3203125
78,2.574,4.18769805026,0.3203125,4.3203125
79,2.607,4.2413864868,0.3212890625,4.3212890625
80,2.64,4.29507492335,0.3212890625,4.3212890625
81,2.673,4.34876335989,0.322265625,4.322265625
82,2.706,4.40245179643,0.322265625,4.322265625
83,2.739,4.45614023297,0.322265625,4.322265625
84,2.772,4.50982866951,0.3232421875,4.3232421875
85,2.805,4.56351710606,0.3232421875,4.3232421875
86,2.838,4.6172055426,0.32421875,4.32421875
87,2.871,4.67089397914,0.32421875,4.32421875
88,2.904,4.72458241568,0.32421875,4.32421875
89,2.937,4.77827085222,0.3251953125,4.3251953125
90,2.97,4.83195928876,0.3251953125,4.3251953125
91,3.003,4.88564772531,0.326171875,4.326171875
92,3.036,4.93933616185,0.326171875,4.326171875
93,3.069,4.99302459839,0.326171875,4.326171875
94,3.102,5.04671303493,0.3271484375,4.3271484375
95,3.135,5.10040147147,0.3271484375,4.3271484375
96,3.168,5.15408990802,0.328125,4.328125
97,3.201,5.20777834456,0.328125,4.328125
98,3.234,5.2614667811,0.3291015625,4.3291015625
99,3.267,5.31515521764,0.330078125,4.330078125
