particle_id,launch_coordinate_sigma,effective_amplitude_sigma,tune_fractional,tune_absolute
1,0.04,0.0654117566307,0.2490234375,4.2490234375
2,0.08,0.130823513261,0.25,4.25
3,0.12,0.196235269892,0.25,4.25
4,0.16,0.261647026523,0.2509765625,4.2509765625
5,0.2,0.327058783153,0.2509765625,4.2509765625
6,0.24,0.392470539784,0.251953125,4.251953125
7,0.28,0.457882296415,0.2529296875,4.2529296875
8,0.32,0.523294053045,0.2548828125,4.2548828125
9,0.36,0.588705809676,0.255859375,4.255859375
10,0.4,0.654117566307,0.2568359375,4.2568359375
11,0.44,0.719529322937,0.2587890625,4.2587890625
12,0.48,0.784941079568,0.2607421875,4.2607421875
13,0.52,0.850352836199,0.26171875,4.26171875
14,0.56,0.915764592829,0.263671875,4.263671875
15,0.6,0.98117634946,0.265625,4.265625
16,0.64,1.04658810609,0.267578125,4.267578125
17,0.68,1.11199986272,0.26953125,4.26953125
18,0.72,1.17741161935,0.271484375,4.271484375
19,0.76,1.24282337598,0.2734375,4.2734375
20,0.8,1.30823513261,0.275390625,4.275390625
21,0.84,1.37364688924,0.2783203125,4.2783203125
22,0.88,1.43905864587,0.2802734375,4.2802734375
23,0.92,1.50447040251,0.2822265625,4.2822265625
24,0.96,1.56988215914,0.2841796875,4.2841796875
25,1,1.63529391577,0.2861328125,4.2861328125
26,1.04,1.7007056724,0.2880859375,4.2880859375
27,1.08,1.76611742903,0.2900390625,4.2900390625
28,1.12,1.83152918566,0.2919921875,4.2919921875
29,1.16,1.89694094229,0.2939453125,4.2939453125
30,1.2,1.96235269892,0.2958984375,4.2958984375
31,1.24,2.02776445555,0.2978515625,4.2978515625
32,1.28,2.09317621218,0.2998046875,4.2998046875
33,1.32,2.15858796881,0.3017578125,4.3017578125
34,1.36,2.22399972544,0.302734375,4.302734375
35,1.4,2.28941148207,0.3046875,4.3046875
36,1.44,2.3548232387,0.306640625,4.306640625
37,1.48,2.42023499533,0.3076171875,4.3076171875
38,1.52,2.48564675197,0.3095703125,4.3095703125
39,1.56,2.5510585086,0.310546875,4.310546875
40,1.6,2.61647026523,0.3125,4.3125
41,1.64,2.68188202186,0.3134765625,4.3134765625
42,1.68,2.74729377849,0.314453125,4.314453125
43,1.72,2.81270553512,0.31640625,4.31640625
44,1.76,2.87811729175,0.3173828125,4.3173828125
45,1.8,2.94352904838,0.318359375,4.318359375
46,1.84,3.00894080501,0.3193359375,4.3193359375
47,1.88,3.07435256164,0.3212890625,4.3212890625
48,1.92,3.13976431827,0.322265625,4.322265625
49,1.96,3.2051760749,0.3232421875,4.3232421875
50,2,3.27058783153,0.32421875,4.32421875
51,2.04,3.33599958816,0.3251953125,4.3251953125
52,2.08,3.40141134479,0.326171875,4.326171875
53,2.12,3.46682310143,0.328125,4.328125
54,2.16,3.53223485806,0.3330078125,4.3330078125
55,2.2,3.59764661469,0.3330078125,4.3330078125
56,2.24,3.66305837132,0.3330078125,4.3330078125
57,2.28,3.72847012795,0.3330078125,4.3330078125
58,2.32,3.79388188458,0.3330078125,4.3330078125
59,2.36,3.85929364121,0.3330078125,4.3330078125
60,2.4,3.92470539784,0.3330078125,4.3330078125
61,2.44,3.99011715447,0.3330078125,4.3330078125
62,2.48,4.0555289111,0.3330078125,4.3330078125
63,2.52,4.12094066773,0.3330078125,4.3330078125
64,2.56,4.18635242436,0.3330078125,4.3330078125
65,2.6,4.25176418099,0.3330078125,4.3330078125
66,2.64,4.31717593762,0.3330078125,4.3330078125
67,2.68,4.38258769425,0.3330078125,4.3330078125
68,2.72,4.44799945089,0.3330078125,4.3330078125
69,2.76,4.51341120752,0.3330078125,4.3330078125
70,2.8,4.57882296415,0.3330078125,4.3330078125
71,2.84,4.64423472078,0.3330078125,4.3330078125
72,2.88,4.70964647741,0.3330078125,4.3330078125
73,2.92,4.77505823404,0.3330078125,4.3330078125
74,2.96,4.84046999067,0.3330078125,4.3330078125
75,3,4.9058817473,0.3330078125,4.3330078125
76,3.04,4.97129350393,0.3330078125,4.3330078125
77,3.08,5.03670526056,0.3330078125,4.3330078125
78,3.12,5.10211701719,0.3330078125,4.3330078125
79,3.16,5.16752877382,0.3330078125,4.3330078125
80,3.2,5.23294053045,0.3330078125,4.3330078125
81,3.24,5.29835228708,0.3330078125,4.3330078125
82,3.28,5.36376404371,0.3330078125,4.3330078125
83,3.32,5.42917580035,0.3330078125,4.3330078125
84,3.36,5.49458755698,0.3330078125,4.3330078125
85,3.4,5.55999931361,0.3369140625,4.3369140625
86,3.44,5.62541107024,0.337890625,4.337890625
87,3.48,5.69082282687,0.337890625,4.337890625
88,3.52,5.7562345835,0.3388671875,4.3388671875
89,3.56,5.82164634013,0.3388671875,4.3388671875
90,3.6,5.88705809676,0.3388671875,4.3388671875
91,3.64,5.95246985339,0.33984375,4.33984375
92,3.68,6.01788161002,0.33984375,4.33984375
93,3.72,6.08329336665,0.33984375,4.33984375
94,3.76,6.14870512328,0.33984375,4.33984375
95,3.8,6.21411687991,0.33984375,4.33984375
96,3.84,6.27952863654,0.3408203125,4.3408203125
97,3.88,6.34494039317,0.3408203125,4.3408203125
98,3.92,6.4103521498,0.3408203125,4.3408203125
99,3.96,6.47576390644,0.3408203125,4.3408203125
