particle_id,launch_coordinate_sigma,effective_amplitude_sigma,tune_fractional,tune_absolute
1,0.04,0.0434877195349,0.063148764552,3.06314876455
2,0.08,0.0869754390699,0.0632998997229,3.06329989972
3,0.12,0.130463158605,0.0635512165637,3.06355121656
4,0.16,0.17395087814,0.063901866143,3.06390186614
5,0.2,0.217438597675,0.0643506776762,3.06435067768
6,0.24,0.26092631721,0.0648961262406,3.06489612624
7,0.28,0.304414036745,0.0655364139568,3.06553641396
8,0.32,0.34790175628,0.066269415181,3.06626941518
9,0.36,0.391389475815,0.0670927266941,3.06709272669
10,0.4,0.434877195349,0.0680036841393,3.06800368414
11,0.44,0.478364914884,0.0689993696325,3.06899936963
12,0.48,0.521852634419,0.0700766335214,3.07007663352
13,0.52,0.565340353954,0.071232114291,3.07123211429
14,0.56,0.608828073489,0.0724622592075,3.07246225921
15,0.6,0.652315793024,0.0737633564375,3.07376335644
16,0.64,0.695803512559,0.0751315500778,3.07513155008
17,0.68,0.739291232094,0.076562835641,3.07656283564
18,0.72,0.782778951629,0.078053159297,3.0780531593
19,0.76,0.826266671164,0.0795982965836,3.07959829658
20,0.8,0.869754390699,0.0811941291825,3.08119412918
21,0.84,0.913242110234,0.0828372588858,3.08283725889
22,0.88,0.956729829769,0.0845194615692,3.08451946157
23,0.92,1.0002175493,0.086242975555,3.08624297555
24,0.96,1.04370526884,0.0879988028327,3.08799880283
25,1,1.08719298837,0.0897841513445,3.08978415134
26,1.04,1.13068070791,0.0915948594276,3.09159485943
27,1.08,1.17416842744,0.0934268898374,3.09342688984
28,1.12,1.21765614698,0.0952762990008,3.095276299
29,1.16,1.26114386651,0.097139253908,3.09713925391
30,1.2,1.30463158605,0.0990120390588,3.09901203906
31,1.24,1.34811930558,0.100891071812,3.10089107181
32,1.28,1.39160702512,0.10277290063,3.10277290063
33,1.32,1.43509474465,0.104654227659,3.10465422766
34,1.36,1.47858246419,0.106531903077,3.10653190308
35,1.4,1.52207018372,0.108402933079,3.10840293308
36,1.44,1.56555790326,0.110264476854,3.11026447685
37,1.48,1.60904562279,0.112113902184,3.11211390218
38,1.52,1.65253334233,0.113948564329,3.11394856433
39,1.56,1.69602106186,0.115766211582,3.11576621158
40,1.6,1.7395087814,0.117564496034,3.11756449603
41,1.64,1.78299650093,0.119340784322,3.11934078432
42,1.68,1.82648422047,0.121097902248,3.12109790225
43,1.72,1.86997194,0.122825766923,3.12282576692
44,1.76,1.91345965954,0.124529881546,3.12452988155
45,1.8,1.95694737907,0.126197469232,3.12619746923
46,1.84,2.00043509861,0.127840979645,3.12784097964
47,1.88,2.04392281814,0.129451593645,3.12945159365
48,1.92,2.08741053768,0.131027531975,3.13102753197
49,1.96,2.13089825721,0.132566399221,3.13256639922
50,2,2.17438597675,0.134064787088,3.13406478709
51,2.04,2.21787369628,0.135518002937,3.13551800294
52,2.08,2.26136141582,0.136919241309,3.13691924131
53,2.12,2.30484913535,0.138258716801,3.1382587168
54,2.16,2.34833685489,0.139522997883,3.13952299788
55,2.2,2.39182457442,0.140697835555,3.14069783556
56,2.24,2.43531229396,0.141772560876,3.14177256088
57,2.28,2.47880001349,0.142745997111,3.14274599711
58,2.32,2.52228773303,0.143630420682,3.14363042068
59,2.36,2.56577545256,0.144469523601,3.1444695236
60,2.4,2.6092631721,0.145283461689,3.14528346169
61,2.44,2.65275089163,0.146064560817,3.14606456082
62,2.48,2.69623861117,0.146797230721,3.14679723072
63,2.52,2.7397263307,0.147631266487,3.14763126649
64,2.56,2.78321405024,0.151255350791,3.15125535079
65,2.6,2.82670176977,0.152655314051,3.15265531405
66,2.64,2.87018948931,0.154000597071,3.15400059707
67,2.68,2.91367720884,0.155150296334,3.15515029633
68,2.72,2.95716492838,0.15621604251,3.15621604251
69,2.76,3.00065264791,0.157227243281,3.15722724328
70,2.8,3.04414036745,0.158195600028,3.15819560003
71,2.84,3.08762808698,0.159130748648,3.15913074865
72,2.88,3.13111580652,0.1600318291,3.1600318291
73,2.92,3.17460352605,0.160904993892,3.16090499389
74,2.96,3.21809124559,0.161750720137,3.16175072014
75,3,3.26157896512,0.16256910684,3.16256910684
76,3.04,3.30506668466,0.163366680663,3.16336668066
77,3.08,3.34855440419,0.164147413311,3.16414741331
78,3.12,3.39204212373,0.16495354051,3.16495354051
79,3.16,3.43552984326,0.165552086503,3.1655520865
80,3.2,3.4790175628,0.166382942706,3.16638294271
81,3.24,3.52250528233,0.166848234259,3.16684823426
82,3.28,3.56599300187,0.167770438732,3.16777043873
83,3.32,3.6094807214,0.168336147754,3.16833614775
84,3.36,3.65296844094,0.168951089005,3.168951089
85,3.4,3.69645616047,0.169563309881,3.16956330988
86,3.44,3.73994388001,0.170168063043,3.17016806304
87,3.48,3.78343159954,0.170746189296,3.1707461893
88,3.52,3.82691931908,0.171313960473,3.17131396047
89,3.56,3.87040703861,0.171853233561,3.17185323356
90,3.6,3.91389475815,0.172653105921,3.17265310592
91,3.64,3.95738247768,0.172928017142,3.17292801714
92,3.68,4.00087019721,0.17343895735,3.17343895735
93,3.72,4.04435791675,0.173931273978,3.17393127398
94,3.76,4.08784563628,0.174411650253,3.17441165025
95,3.8,4.13133335582,0.174880250945,3.17488025094
96,3.84,4.17482107535,0.175336920389,3.17533692039
97,3.88,4.21830879489,0.175782068958,3.17578206896
98,3.92,4.26179651442,0.176215985967,3.17621598597
99,3.96,4.30528423396,0.176638841486,3.17663884149
