turn,x_m,xp_rad,y_m,yp_rad,z_m,dE_GeV,action_x,action_x_normalised
-1.0,0.00515,0.0,0.0,0.0,6.7010481099999994,0.0,5.486973648394472e-06,1.0
0.0,0.0025065444238589786,-0.0008799121997286305,1.8143500016031945e-15,-8.155354782480848e-17,6.698401710886625,-2.9404308910364557e-08,5.544910901624604e-06,1.0105590543973335
1.0,-0.008026579982127125,0.0010034132965819449,-7.78726005013844e-16,1.9808765348395973e-16,6.698316850248666,-5.880824530374364e-08,5.53875044210695e-06,1.0094363117139495
2.0,0.0066300262091750556,-0.0002716992454180542,-4.827163057678304e-15,3.197343781683839e-16,6.7000124747604675,-8.82196250648234e-08,5.414923386123704e-06,0.9868688521418632
3.0,0.0003536574617207216,-0.0006864073119364866,-6.7780598221492535e-15,5.023575085887916e-16,6.696299813537511,-1.1761470717129969e-07,5.430902096233657e-06,0.9897809693004045
4.0,-0.007060156053515361,0.0010588842381745317,-7.167921534230741e-15,7.268135375723622e-16,6.696171163396637,-1.4700922453582008e-07,5.469766828057666e-06,0.9968640599646691
5.0,0.007667791629519447,-0.0005268007561323876,-3.669198461207774e-15,8.162108847518641e-16,6.696494946178143,-1.764051632258056e-07,5.34658942792142e-06,0.9744150000585241
6.0,-0.0018388348467922417,-0.00044557278512950203,-5.145841143314383e-16,6.428886307927948e-16,6.691907887807699,-2.0578096587630944e-07,5.342551731602119e-06,0.9736791306015089
7.0,-0.005616206345254615,0.0010440558434616203,1.1846307559311238e-15,4.514278376905799e-16,6.691674234257269,-2.351557428461403e-07,5.422098845747123e-06,0.9881765784192654
8.0,0.008198697071626255,-0.0007478989084410807,3.3745136012863815e-15,3.827603332821768e-16,6.690508407856134,-2.6452540212952674e-07,5.324741640147658e-06,0.9704332445091504
9.0,-0.0039198662932015405,-0.00017461438565761987,8.323207210761946e-15,2.819054988679846e-16,6.685241265037656,-2.9387193997272577e-07,5.325639916284007e-06,0.9705969551798972
10.0,-0.0038011468236396483,0.0009606828808046678,1.0106100979505558e-14,-4.7259821227889466e-17,6.684794693112196,-3.2321651747681504e-07,5.42462811254995e-06,0.9886375368573594
11.0,0.008189183856495025,-0.0009195089850382533,8.823405133891116e-15,-3.1124177463239524e-16,6.682071945128588,-3.5254914279794323e-07,5.36476984948866e-06,0.9777283787499929
12.0,-0.005743334793614425,0.0001073378859599068,8.215802435572219e-15,-4.2418049090172524e-16,6.676309977769667,-3.8185647452285764e-07,5.389269249039966e-06,0.9821933900879778
13.0,-0.001744341458404978,0.000814620337583979,8.033627401958888e-15,-6.655893827450483e-16,6.675502180411198,-4.111602602193177e-07,5.472735343540626e-06,0.9974050713988735
14.0,0.007637717052447823,-0.0010291211887143523,4.2837120419197585e-15,-9.01809597895977e-16,6.67121038622207,-4.4044520601223606e-07,5.444631908103955e-06,0.9922832251430793
15.0,-0.00717876819184274,0.00038063805326604114,5.065127844591751e-16,-5.437452711357998e-16,6.665119455698039,-4.697034141428866e-07,5.501896760444106e-06,1.002719734594315
16.0,0.00041127642857078766,0.0006154811101013576,-9.284686880812244e-16,-4.1300792100910294e-16,6.6637710341783025,-4.989557030401708e-07,5.531371307362556e-06,1.0080914656809177
17.0,0.0065761001791393514,-0.0010682865844765803,5.810697074626508e-17,-3.443503586364863e-16,6.657953756161942,-5.281824555412827e-07,5.516948057900146e-06,1.0054628309568143
18.0,-0.008122452792862746,0.0006265530911119665,2.885772221732461e-15,-4.348581017677864e-16,6.651670724080748,-5.573816271023162e-07,5.609499507351915e-06,1.0223303166388078
19.0,0.002519038217086324,0.00037623206569338996,4.1070707927729255e-15,-4.9790013666875985e-16,6.649583434656701,-5.865716359846005e-07,5.556292660704162e-06,1.0126333780243273
20.0,0.005070055366654834,-0.0010336245312453048,5.644647153038901e-15,-5.616912999195583e-16,6.642335847708331,-6.15729829772078e-07,5.536649119198375e-06,1.0090533459766913
21.0,-0.008507852841082686,0.0008287178904501619,5.142930943303689e-15,-7.305244792660943e-16,6.635959905215827,-6.448600347659991e-07,5.665274822586459e-06,1.0324953582097407
22.0,0.004439179291509823,0.000112528154670765,1.6485478910829308e-15,-6.560041221661732e-16,6.632931290835188,-6.739769448999429e-07,5.520956822431034e-06,1.006193427600387
23.0,0.0032169673260004344,-0.0009274335275175549,1.382474694517033e-15,-4.975046465139396e-16,6.62439162391151,-7.030563680310084e-07,5.488189961503815e-06,1.0002216728541604
