turn,n_macroparticles,intensity,epsn_x,epsn_y,eps_z,mean_x_m,mean_y_m,mean_z_m
0.0,1000.0,1950000000.0,4.6754966504496615e-07,3.5403916656289496e-07,4.947477338989601e-06,-0.00029522103013046575,-9.418133768619656e-05,0.03500655117199393
100.0,1000.0,1950000000.0,4.745355438873805e-07,3.678539043932502e-07,4.947772755465288e-06,6.107857171131429e-05,-0.00026234069259182467,0.07509114468910737
200.0,1000.0,1950000000.0,4.783833984855016e-07,3.768054210278946e-07,4.947508059899402e-06,0.00019634118529911787,-0.00025342768861634686,0.08635417204087828
300.0,1000.0,1950000000.0,4.842424880985381e-07,3.7853710494435664e-07,4.946874536591078e-06,0.0002912799974349648,-0.00017346014764503905,0.0642540141681491
400.0,1000.0,1950000000.0,4.950087342079053e-07,3.8266301164709847e-07,4.946102656694963e-06,0.0002948468424876314,-0.0001420077504692239,0.01765253615428956
500.0,1000.0,1950000000.0,4.900299472790383e-07,3.8464224828326453e-07,4.945164768249802e-06,2.3806845373542418e-05,-0.0002662286358474606,-0.03599611218936726
600.0,1000.0,1950000000.0,4.837840612994264e-07,3.9937011842420984e-07,4.944582326176607e-06,4.5024438096844115e-05,-0.0003505768522507015,-0.07575069287332686
700.0,1000.0,1950000000.0,4.886002844726269e-07,4.097121220102647e-07,4.9445880248913495e-06,-0.0001825921683105428,3.7984338895662144e-05,-0.08725558419089043
800.0,1000.0,1950000000.0,4.934601476000421e-07,4.1470724994887327e-07,4.945451214820868e-06,-0.00021516899761281816,-0.0001748935792839293,-0.0656031468739955
900.0,1000.0,1950000000.0,5.03052209597654e-07,4.1474605751102924e-07,4.946430785699545e-06,0.00027724405365545546,-0.00024154239755351273,-0.019223656835295345
1000.0,1000.0,1950000000.0,4.982373464407647e-07,4.1255573514591955e-07,4.947044008124968e-06,-0.00033918438999437525,0.00018166802944780954,0.034475020109520874
1100.0,1000.0,1950000000.0,4.964426532413244e-07,4.3275518330929807e-07,4.947215720296691e-06,-0.00010488937725607213,-0.00011657754508086459,0.07488450381587566
1200.0,1000.0,1950000000.0,5.012984636028144e-07,4.2899310167120733e-07,4.946567607717562e-06,0.0005076523888301557,-0.00011512545886278277,0.0865903903028965
1300.0,1000.0,1950000000.0,5.099189813961627e-07,4.346934843344199e-07,4.946257913728149e-06,4.58113806504758e-05,6.727745933678217e-05,0.06509280983547884
1400.0,1000.0,1950000000.0,5.165555797259083e-07,4.327727837429672e-07,4.946090396416971e-06,6.622147696818828e-07,2.8763839326737183e-05,0.018837078571969264
1500.0,1000.0,1950000000.0,5.127479393328051e-07,4.3149290356519105e-07,4.945322109132726e-06,-3.4826705723619986e-05,0.0001366208955645502,-0.03486777684293232
1600.0,1000.0,1950000000.0,5.127830152747096e-07,4.4373024962488693e-07,4.9450395100152005e-06,-3.590690178148708e-05,0.00015286631292076903,-0.07509215222123966
1700.0,1000.0,1950000000.0,5.153386869963143e-07,4.3920916419146927e-07,4.945226095311851e-06,-0.0004202144130831347,-0.00013717322321519303,-0.08714384730614265
1800.0,1000.0,1950000000.0,5.21950116147202e-07,4.411548488874301e-07,4.946026323139154e-06,0.0005130955059119041,-0.0001476621544751104,-0.06583914503480616
